,Period,Close,High,Low,Open,Volume,p_change,Prev Close,TR,atr14,atr21,pct_change,p_score,MA5,MA20,ma5_score,ma20_score,rsi,rsi_score,vol_avg5,vol_avg5_score,z_score,z_score_score,score,score_final
40,2022-08-17,12938.1201171875,13053.509765625,12863.009765625,12968.6298828125,5229520000.0,0.0023525820306920012,13102.5498046875,239.5400390625,240.92710658482142,256.7494419642857,-0.012549441898795477,2,12999.1640625,12478.88505859375,0,1,66.06399786406543,0,5066508000.0,1,-0.9324459850052343,3,1.4,40.0
41,2022-08-18,12965.33984375,13002.66015625,12873.490234375,12937.7900390625,4724350000.0,-0.0021294057643786216,12938.1201171875,129.169921875,231.31996372767858,251.6337425595238,0.002103839376660366,3,13036.25,12524.171533203125,0,1,66.5689122072343,0,4848186000.0,0,0.08850027430980732,3,1.6,46.66666666666667
42,2022-08-19,12705.2197265625,12859.009765625,12674.8701171875,12832.26953125,4628170000.0,0.009900805494936014,12965.33984375,290.4697265625,235.80071149553572,253.66229538690476,-0.020062730350480673,1,12967.855859375,12567.727001953124,0,1,57.72938871239852,0,4817298000.0,0,-1.455923532163987,2,0.8,20.000000000000004
43,2022-08-22,12381.5703125,12538.5498046875,12353.73046875,12523.16015625,4270980000.0,0.011306239158758662,12705.2197265625,351.4892578125,243.55998883928572,254.88420758928572,-0.02547373607288772,1,12818.5599609375,12597.672021484375,0,0,49.00929048770639,0,4776286000.0,0,-1.8329275592877279,2,0.7,16.666666666666664
44,2022-08-23,12381.2998046875,12490.849609375,12352.0302734375,12380.3701171875,3836180000.0,-7.509367581097818e-05,12381.5703125,138.8193359375,228.41280691964286,254.46702938988096,-2.184761752122011e-05,3,12674.3099609375,12638.60849609375,0,0,49.002628045404904,0,4537840000.0,0,-0.05960390415972203,3,1.5,43.333333333333336
45,2022-08-24,12431.5302734375,12504.330078125,12350.16015625,12375.150390625,3917170000.0,-0.004555894759486035,12381.2998046875,154.169921875,229.75279017857142,249.9370349702381,0.004056962479091597,3,12572.9919921875,12658.564013671876,0,0,50.3522941247193,0,4275370000.0,0,0.22458131226469522,3,1.5,43.333333333333336
46,2022-08-25,12639.26953125,12641.259765625,12471.98046875,12506.3701171875,4323470000.0,-0.010626537741743016,12431.5302734375,209.7294921875,230.81842912946428,235.20224144345238,0.016710674650921797,4,12507.7779296875,12682.397998046876,1,0,55.58734925390861,0,4195194000.0,1,1.1062104754145283,4,2.2,66.66666666666666
47,2022-08-26,12141.7099609375,12655.83984375,12141.51953125,12630.580078125,4530000000.0,0.03870527831371561,12639.26953125,514.3203125,249.16985212053572,245.76892671130952,-0.039366165036856526,1,12395.0759765625,12669.948974609375,0,0,43.70151308489784,0,4175560000.0,1,-2.80086253009328,1,0.6000000000000001,13.333333333333336
48,2022-08-29,12017.669921875,12124.8701171875,11981.419921875,12021.0498046875,4209850000.0,0.00028116369763163656,12141.7099609375,160.2900390625,245.93345424107142,240.84607514880952,-0.01021602718740311,2,12322.2958984375,12652.383447265625,0,0,41.32899199460026,0,4163334000.0,1,-0.7698686771487989,3,1.3,36.66666666666667
49,2022-08-30,11883.1396484375,12101.849609375,11790.01953125,12093.0595703125,4681520000.0,0.017358710643445165,12017.669921875,311.830078125,241.95626395089286,244.85039992559524,-0.01119437247919608,2,12222.6638671875,12629.10244140625,0,0,38.86459554594106,0,4332402000.0,1,-0.8380334756808221,3,1.3,36.66666666666667
