,Period,Close,High,Low,Open,Volume,Prev Close,Weekday,p_change,TR,atr14,atr21,ma_short,ma_long,SMA_short,SMA_long,prev_ma_short,prev_ma_long,golden_cross,death_cross,ma_diff,ma_ratio,volatility,future_return_1d,score
867,2024-11-04,67811.5078125,69433.1796875,66803.6484375,68742.1328125,41184819348.0,68741.1171875,0,0.013537912804340224,2629.53125,2181.776785714286,2039.0576636904761,69107.9109375,68610.601953125,69545.13359375,65162.9265625,70013.5171875,68572.08203125,False,False,497.30898437499127,1.0072482819013124,2629.53125,0.022828790236907846,61.0
868,2024-11-05,69359.5625,70522.7890625,67458.8671875,67811.171875,46046889204.0,67811.5078125,1,-0.022833857345132335,3063.921875,2313.4704241071427,2038.649925595238,68936.7859375,68697.944140625,69779.6203125,65386.26765625,69107.9109375,68610.601953125,False,False,238.841796875,1.003476694970465,3063.921875,0.0905356867699389,95.0
869,2024-11-06,75639.078125,76460.15625,69322.03125,69358.5,118592653963.0,69359.5625,2,-0.09055239264113267,7138.125,2665.143136160714,2301.581473214286,70168.1078125,69109.90625,70550.5984375,65692.8784375,68936.7859375,68697.944140625,False,False,1058.2015625000058,1.015311865113404,7138.125,0.0035138086897459793,52.0
870,2024-11-07,75904.859375,76943.1171875,74480.421875,75637.0859375,63467654989.0,75639.078125,3,-0.0035402400050322537,2462.6953125,2671.9952566964284,2358.6231398809523,71491.225,69484.209765625,71150.30859375,65977.98203125,70168.1078125,69109.90625,False,False,2007.0152343750087,1.028884479526281,2462.6953125,0.008439738809541797,54.0
871,2024-11-08,76545.4765625,77252.75,75648.7421875,75902.8359375,55176858003.0,75904.859375,4,-0.00846662205782619,1604.0078125,2557.9698660714284,2349.6744791666665,73052.096875,69893.346875,71532.80703125,66250.082421875,71491.225,69484.209765625,False,False,3158.75,1.0451938580885136,1604.0078125,0.0030490452928258233,52.0
872,2024-11-09,76778.8671875,76932.765625,75773.7890625,76556.1875,29009480361.0,76545.4765625,5,-0.0029087092078612198,1158.9765625,2572.3733258928573,2374.2273065476193,74845.56875,70282.205078125,71976.73984375,66521.800234375,73052.096875,69893.346875,False,False,4563.363671875006,1.0649291476669296,1158.9765625,0.04812939351495951,74.0
873,2024-11-10,80474.1875,81474.421875,76565.4296875,76775.546875,82570594495.0,76778.8671875,6,-0.0481747219726333,4908.9921875,2824.866629464286,2548.3084077380954,77068.49375,70937.521875,73002.63984375,66863.3871875,74845.56875,70282.205078125,False,False,6130.971874999988,1.0864277707050927,4908.9921875,0.1022352276001544,100.0
874,2024-11-11,88701.484375,89604.5,80283.25,80471.4140625,117966845037.0,80474.1875,0,-0.10227321600323717,9321.25,3299.4464285714284,2866.8020833333335,79680.975,72004.52578125,74924.54140625,67364.44265625,77068.49375,70937.521875,False,False,7676.44921875,1.1066106489204732,9321.25,-0.008406532091927012,46.0
875,2024-11-12,87955.8125,89956.8828125,85155.109375,88705.5625,133673285375.0,88701.484375,1,0.008452119335808281,4801.7734375,3367.6233258928573,3037.3526785714284,82091.165625,73080.706640625,76791.1953125,67856.962890625,79680.975,72004.52578125,False,False,9010.458984375,1.1232946340911016,4801.7734375,0.02988263638062578,65.0
876,2024-11-13,90584.1640625,93434.3515625,86256.9296875,87929.96875,123559027869.0,87955.8125,2,-0.03018533214820459,7177.421875,3773.61328125,3273.672433035714,84898.903125,74201.862109375,78975.5,68382.606796875,82091.165625,73080.706640625,False,False,10697.041015625,1.1441613554098866,7177.421875,-0.0368026178692761,32.0
